"ii","Val"
"dwe",1.89999997615814
"oil",5.19999980926514
"gas",12.8485668965144
"crop",2.79518459829635
"live",2.05965099752769
"fors",2.5
"food",2.52130541516963
"coal",3.04999995231628
"roil",2.09999990463257
"elec",2.79999995231628
"eint",3.30516619878398
"othr",3.34380236822583
"serv",1.89999997615814
"tran",1.89999997615814
