"ii","Val"
"oil",10.3999996185303
"gas",31.8313578384459
"crop",5.06188340411665
"live",3.57277045983863
"fors",5
"food",5.1274090564607
"coal",6.09999990463257
"roil",4.19999980926514
"elec",5.59999990463257
"eint",6.78905768946372
"othr",7.29431707980084
"serv",3.79999995231628
"tran",3.79999995231629
